,uid,majority_label,label_dist,label_count,entropy,old_label,old_labels,premise,hypothesis,n,e,c,ground_truth
2407214681.jpg#0r1n,2407214681.jpg#0r1n,n,"[0.3, 0.7, 0.0]","[30, 70, 0]",0.8812908992306927,n,"['neutral', 'neutral', 'neutral', 'entailment', 'entailment']","Two young children in blue jerseys, one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink.",Two kids at a ballgame wash their hands.,70.0,30.0,0.0,n
4718146904.jpg#2r1n,4718146904.jpg#2r1n,n,"[0.03, 0.94, 0.03]","[3, 94, 3]",0.3874449191544763,n,"['neutral', 'entailment', 'entailment', 'neutral', 'neutral']",A man selling donuts to a customer during a world exhibition event held in the city of Angeles,A man selling donuts to a customer during a world exhibition event while people wait in line behind him.,94.0,3.0,3.0,n
3980085662.jpg#0r1e,3980085662.jpg#0r1e,e,"[0.98, 0.02, 0.0]","[98, 2, 0]",0.14144054254182067,e,"['entailment', 'neutral', 'entailment', 'entailment', 'neutral']","Two young boys of opposing teams play football, while wearing full protection uniforms and helmets.",boys play football,2.0,98.0,0.0,e
24467676.jpg#1r1e,24467676.jpg#1r1e,e,"[0.98, 0.0, 0.02]","[98, 0, 2]",0.14144054254182067,e,"['entailment', 'neutral', 'neutral', 'entailment', 'entailment']",A man in a blue shirt standing in front of a garage-like structure painted with geometric designs.,A man is wearing a blue shirt,0.0,98.0,2.0,e
3667788497.jpg#0r1e,3667788497.jpg#0r1e,e,"[1.0, 0.0, 0.0]","[100, 0, 0]",0.0,e,"['entailment', 'neutral', 'entailment', 'neutral', 'entailment']","Under a blue sky with white clouds, a child reaches up to touch the propeller of a plane standing parked on a field of grass.",A child is reaching to touch the propeller of a plane.,0.0,100.0,0.0,e
3948003394.jpg#1r1n,3948003394.jpg#1r1n,n,"[0.02, 0.77, 0.21]","[2, 77, 21]",0.876043894656111,c,"['neutral', 'neutral', 'contradiction', 'contradiction', 'contradiction']",A woman is doing a cartwheel while wearing a bikini in the sand next to the beach.,A woman is doing a cartwheel and falls on her head.,77.0,2.0,21.0,n
530472459.jpg#4r1n,530472459.jpg#4r1n,n,"[0.01, 0.76, 0.23]","[1, 76, 23]",0.8550120296644869,n,"['neutral', 'neutral', 'neutral', 'contradiction', 'contradiction']",A young boy in a field of flowers carrying a ball,boy leaving baseball game,76.0,1.0,23.0,n
173499538.jpg#2r1e,173499538.jpg#2r1e,c,"[0.05, 0.01, 0.94]","[5, 1, 94]",0.3664462644533775,c,"['entailment', 'contradiction', 'entailment', 'contradiction', 'contradiction']",Families waiting in line at an amusement park for their turn to ride.,People are waiting in line at a restaurant.,1.0,5.0,94.0,e
3261712960.jpg#0r1c,3261712960.jpg#0r1c,n,"[0.22, 0.55, 0.23]","[22, 55, 23]",1.4426141413428435,c,"['contradiction', 'contradiction', 'contradiction', 'entailment', 'neutral']","At an outdoor event in an Asian-themed area, a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera.",A single man is next to a camera,55.0,22.0,23.0,c
3261712960.jpg#0r1n,3261712960.jpg#0r1n,n,"[0.03, 0.65, 0.32]","[3, 65, 32]",1.0817682362845948,n,"['neutral', 'contradiction', 'contradiction', 'neutral', 'neutral']","At an outdoor event in an Asian-themed area, a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera.",A crowd is dancing,65.0,3.0,32.0,n
